px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.34729	-1.63109	-2.805	1.68292	1.68794	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.047992
6.28558	-1.71519	-2.63962	1.60988	1.42872	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	16.3816
6.28442	-1.86458	-2.66912	1.67466	1.41638	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.481762
6.32828	-2.02203	-2.73673	1.79095	1.48728	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	2.43109
6.35782	-2.16817	-2.75835	1.86102	1.4795	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.270812
6.35246	-2.29283	-2.65439	1.86537	1.35931	6.32593	-2.40018	6.35	-2.4	0	-2.72613	8.00568
6.38649	-2.45263	-2.68632	1.92766	1.34225	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.61733
6.43503	-2.59932	-2.69659	1.99216	1.3289	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.359479
6.48323	-2.75399	-2.72499	2.04864	1.30887	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.586667
6.50433	-2.86467	-2.6296	2.0626	1.23094	6.46536	-3.00452	6.45	-3	0	-2.99754	6.31715
6.53861	-3.0143	-2.66954	2.09316	1.1956	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.58517
6.59998	-3.1553	-2.67966	2.14142	1.17411	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.817718
6.6487	-3.31648	-2.718	2.16985	1.13437	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.76845
6.73458	-3.46024	-2.77066	2.22745	1.13387	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.16862
6.80859	-3.6161	-2.80625	2.26074	1.1014	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	1.24082
6.88174	-3.73797	-2.75248	2.2947	1.06473	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.57221
6.94953	-3.89818	-2.78789	2.31053	1.01844	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.98826
7.02137	-4.01603	-2.72867	2.33759	0.981133	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.83702
7.07939	-4.17908	-2.75719	2.33685	0.92319	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.76402
7.13434	-4.27846	-2.60928	2.35092	0.871201	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	10.4285
7.18904	-4.42655	-2.62247	2.3484	0.818688	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	2.23914
7.2638	-4.53535	-2.5751	2.37061	0.790929	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	1.80922
7.31119	-4.69511	-2.59191	2.35147	0.725562	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	3.29661
7.41976	-4.82941	-2.68272	2.38084	0.719715	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.38114
7.47099	-4.99264	-2.69522	2.35631	0.652983	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	3.27633
7.54846	-5.10742	-2.65959	2.36871	0.626338	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.62453
7.59842	-5.27657	-2.67512	2.3365	0.556763	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.31771
7.68825	-5.397	-2.66933	2.35037	0.538192	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.779152
